Institute,Academic Program Name,Seat Type,Gender,Opening Rank,Closing Rank,Year,Round
Indian Institute of Technology Hyderabad,"Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,878,879,2022,1
Indian Institute of Technology Hyderabad,"Mathematics and Computing (4 Years, Bachelor of Technology)",ST,Gender-Neutral,159,159,2022,1
Indian Institute of Technology Hyderabad,"Mechanical Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,520,558,2022,1
Indian Institute of Technology Hyderabad,"Mechanical Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),948,948,2022,1
Indian Institute of Technology Jodhpur,"Artificial Intelligence and Data Science (4 Years, Bachelor of Technology)",ST,Gender-Neutral,369,388,2022,1
Indian Institute of Technology Jodhpur,"Bio Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,1144,1286,2022,1
Indian Institute of Technology Jodhpur,"Chemical Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,938,1028,2022,1
Indian Institute of Technology Jodhpur,"Chemistry with Specialization (4 Years, Bachelor of Science)",ST,Gender-Neutral,1353,1353,2022,1
Indian Institute of Technology Jodhpur,"Civil and Infrastructure Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,639,708,2022,1
Indian Institute of Technology Jodhpur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,229,312,2022,1
Indian Institute of Technology Jodhpur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),607,633,2022,1
Indian Institute of Technology Jodhpur,"Electrical Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,458,747,2022,1
Indian Institute of Technology Jodhpur,"Electrical Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),850,850,2022,1
