,Institute,Academic Program Name,Seat Type,Gender,Opening Rank,Closing Rank,Year,Round
93,Indian Institute of Technology Delhi,"Materials Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,1015,2249,2022,3
94,Indian Institute of Technology Delhi,"Materials Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),5148,5778,2022,3
95,Indian Institute of Technology Delhi,"Mathematics and Computing (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,94,243,2022,3
96,Indian Institute of Technology Delhi,"Mathematics and Computing (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),642,933,2022,3
97,Indian Institute of Technology Delhi,"Mathematics and Computing (5 Years, Bachelor and Master of Technology (Dual Degree))",OBC-NCL,Gender-Neutral,239,335,2022,3
98,Indian Institute of Technology Delhi,"Mathematics and Computing (5 Years, Bachelor and Master of Technology (Dual Degree))",OBC-NCL,Female-only (including Supernumerary),965,1178,2022,3
99,Indian Institute of Technology Delhi,"Mechanical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,662,974,2022,3
100,Indian Institute of Technology Delhi,"Mechanical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),2312,3002,2022,3
101,Indian Institute of Technology Delhi,"Production and Industrial Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,1004,2151,2022,3
102,Indian Institute of Technology Delhi,"Production and Industrial Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),5313,5549,2022,3
103,Indian Institute of Technology Delhi,"Textile Technology (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,2266,2935,2022,3
104,Indian Institute of Technology Delhi,"Textile Technology (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),5866,6953,2022,3
105,Indian Institute of Technology Indore,"Civil Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,3130,3532,2022,3
106,Indian Institute of Technology Indore,"Civil Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),5606,7343,2022,3
107,Indian Institute of Technology Indore,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,345,536,2022,3
108,Indian Institute of Technology Indore,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),782,866,2022,3
109,Indian Institute of Technology Indore,"Electrical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,1235,1551,2022,3
110,Indian Institute of Technology Indore,"Electrical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),2613,4122,2022,3
