,Institute,Academic Program Name,Seat Type,Gender,Opening Rank,Closing Rank,Year,Round
68,Indian Institute of Technology Delhi,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",EWS,Gender-Neutral,511,852,2022,4
69,Indian Institute of Technology Delhi,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",EWS,Female-only (including Supernumerary),1855,1855,2022,4
70,Indian Institute of Technology Delhi,"Civil Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,522,713,2022,4
71,Indian Institute of Technology Delhi,"Civil Engineering (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),1634,1805,2022,4
72,Indian Institute of Technology Delhi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,19,28,2022,4
73,Indian Institute of Technology Delhi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),81,87,2022,4
74,Indian Institute of Technology Delhi,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",EWS,Gender-Neutral,39,59,2022,4
75,Indian Institute of Technology Delhi,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",EWS,Female-only (including Supernumerary),131,131,2022,4
76,Indian Institute of Technology Delhi,"Electrical Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,122,153,2022,4
77,Indian Institute of Technology Delhi,"Electrical Engineering (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),307,371,2022,4
78,Indian Institute of Technology Delhi,"Electrical Engineering (Power and Automation) (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,162,215,2022,4
79,Indian Institute of Technology Delhi,"Electrical Engineering (Power and Automation) (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),541,541,2022,4
80,Indian Institute of Technology Delhi,"Energy Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,488,573,2022,4
81,Indian Institute of Technology Delhi,"Energy Engineering (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),1946,1946,2022,4
82,Indian Institute of Technology Delhi,"Engineering and Computational Mechanics (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,230,289,2022,4
83,Indian Institute of Technology Delhi,"Engineering and Computational Mechanics (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),956,956,2022,4
84,Indian Institute of Technology Delhi,"Engineering Physics (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,498,741,2022,4
85,Indian Institute of Technology Delhi,"Engineering Physics (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),1935,1935,2022,4
86,Indian Institute of Technology Delhi,"Materials Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,810,855,2022,4
87,Indian Institute of Technology Delhi,"Materials Engineering (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),2132,2132,2022,4
