,Institute,Academic Program Name,Seat Type,Gender,Opening Rank,Closing Rank,Year,Round
139,Indian Institute of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,234,391,2022,1
140,Indian Institute of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),231,231,2022,1
141,Indian Institute of Technology Bombay,"BS in Mathematics (4 Years, Bachelor of Science)",OPEN,Gender-Neutral,552,1557,2022,1
142,Indian Institute of Technology Bombay,"BS in Mathematics (4 Years, Bachelor of Science)",OPEN,Female-only (including Supernumerary),1248,3895,2022,1
143,Indian Institute of Technology Bombay,"BS in Mathematics (4 Years, Bachelor of Science)",EWS,Gender-Neutral,372,564,2022,1
144,Indian Institute of Technology Bombay,"BS in Mathematics (4 Years, Bachelor of Science)",OBC-NCL,Gender-Neutral,1148,1789,2022,1
145,Indian Institute of Technology Bombay,"BS in Mathematics (4 Years, Bachelor of Science)",OBC-NCL,Female-only (including Supernumerary),1924,1924,2022,1
146,Indian Institute of Technology Bombay,"BS in Mathematics (4 Years, Bachelor of Science)",SC,Gender-Neutral,548,742,2022,1
147,Indian Institute of Technology Bombay,"BS in Mathematics (4 Years, Bachelor of Science)",SC,Female-only (including Supernumerary),2391,2391,2022,1
148,Indian Institute of Technology Bombay,"BS in Mathematics (4 Years, Bachelor of Science)",ST,Gender-Neutral,427,427,2022,1
149,Indian Institute of Technology Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,1420,2081,2022,1
150,Indian Institute of Technology Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",OPEN,Female-only (including Supernumerary),2571,4591,2022,1
151,Indian Institute of Technology Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",OPEN (PwD),Gender-Neutral,94,137,2022,1
152,Indian Institute of Technology Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,337,440,2022,1
153,Indian Institute of Technology Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),934,1102,2022,1
154,Indian Institute of Technology Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,683,1160,2022,1
155,Indian Institute of Technology Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),2395,3567,2022,1
156,Indian Institute of Technology Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,416,698,2022,1
157,Indian Institute of Technology Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),885,1343,2022,1
158,Indian Institute of Technology Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,270,404,2022,1
159,Indian Institute of Technology Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),680,695,2022,1
160,Indian Institute of Technology Bombay,"Chemistry (4 Years, Bachelor of Science)",OPEN,Gender-Neutral,1664,5323,2022,1
161,Indian Institute of Technology Bombay,"Chemistry (4 Years, Bachelor of Science)",OPEN,Female-only (including Supernumerary),10036,10957,2022,1
162,Indian Institute of Technology Bombay,"Chemistry (4 Years, Bachelor of Science)",EWS,Gender-Neutral,1001,1165,2022,1
163,Indian Institute of Technology Bombay,"Chemistry (4 Years, Bachelor of Science)",EWS,Female-only (including Supernumerary),1968,1968,2022,1
164,Indian Institute of Technology Bombay,"Chemistry (4 Years, Bachelor of Science)",OBC-NCL,Gender-Neutral,2261,3028,2022,1
