,Institute,Academic Program Name,Seat Type,Gender,Opening Rank,Closing Rank,Year,Round
109,Indian Institute of Technology Kharagpur,"Agricultural and Food Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))",ST,Gender-Neutral,1163,1263,2022,4
110,Indian Institute of Technology Kharagpur,"Agricultural and Food Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))",ST,Female-only (including Supernumerary),1132,1132,2022,4
111,Indian Institute of Technology Kharagpur,"Applied Geology (4 Years, Bachelor of Science)",ST,Gender-Neutral,1292,1424,2022,4
112,Indian Institute of Technology Kharagpur,"Applied Geology (4 Years, Bachelor of Science)",ST,Female-only (including Supernumerary),356P,356P,2022,4
113,Indian Institute of Technology Kharagpur,"Architecture (5 Years, Bachelor of Architecture)",ST,Gender-Neutral,1247,1297,2022,4
114,Indian Institute of Technology Kharagpur,"Architecture (5 Years, Bachelor of Architecture)",ST,Female-only (including Supernumerary),1539,1539,2022,4
115,Indian Institute of Technology Kharagpur,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,120,942,2022,4
116,Indian Institute of Technology Kharagpur,"Biotechnology and Biochemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",ST,Gender-Neutral,1009,1241,2022,4
117,Indian Institute of Technology Kharagpur,"Biotechnology and Biochemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",ST,Female-only (including Supernumerary),846,846,2022,4
118,Indian Institute of Technology Kharagpur,"Chemical Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,477,669,2022,4
119,Indian Institute of Technology Kharagpur,"Chemical Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),687,687,2022,4
120,Indian Institute of Technology Kharagpur,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",ST,Gender-Neutral,744,771,2022,4
121,Indian Institute of Technology Kharagpur,"Chemistry (4 Years, Bachelor of Science)",ST,Gender-Neutral,1164,1442,2022,4
122,Indian Institute of Technology Kharagpur,"Chemistry (4 Years, Bachelor of Science)",ST,Female-only (including Supernumerary),1398,1398,2022,4
123,Indian Institute of Technology Kharagpur,"Civil Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,476,508,2022,4
124,Indian Institute of Technology Kharagpur,"Civil Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),817,817,2022,4
125,Indian Institute of Technology Kharagpur,"Civil Engineering with any of the listed specialization (5 Years, Bachelor and Master of Technology (Dual Degree))",ST,Gender-Neutral,528,655,2022,4
126,Indian Institute of Technology Kharagpur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,29,39,2022,4
127,Indian Institute of Technology Kharagpur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),140,140,2022,4
128,Indian Institute of Technology Kharagpur,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",ST,Gender-Neutral,50,65,2022,4
129,Indian Institute of Technology Kharagpur,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",ST,Female-only (including Supernumerary),280,280,2022,4
130,Indian Institute of Technology Kharagpur,"Economics (4 Years, Bachelor of Science)",ST,Gender-Neutral,819,1040,2022,4
131,Indian Institute of Technology Kharagpur,"Economics (4 Years, Bachelor of Science)",ST,Female-only (including Supernumerary),835,835,2022,4
132,Indian Institute of Technology Kharagpur,"Electrical Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,212,288,2022,4
133,Indian Institute of Technology Kharagpur,"Electrical Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),382,382,2022,4
134,Indian Institute of Technology Kharagpur,"Electrical Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))",ST,Gender-Neutral,357,407,2022,4
135,Indian Institute of Technology Kharagpur,"Electronics and Electrical Communication Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,67,173,2022,4
136,Indian Institute of Technology Kharagpur,"Electronics and Electrical Communication Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),238,238,2022,4
137,Indian Institute of Technology Kharagpur,"Electronics and Electrical Communication Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))",ST,Gender-Neutral,248,269,2022,4
138,Indian Institute of Technology Kharagpur,"Electronics and Electrical Communication Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))",ST,Female-only (including Supernumerary),394,394,2022,4
139,Indian Institute of Technology Kharagpur,"Exploration Geophysics (4 Years, Bachelor of Science)",ST,Gender-Neutral,1174,1412,2022,4
140,Indian Institute of Technology Kharagpur,"Exploration Geophysics (4 Years, Bachelor of Science)",ST,Female-only (including Supernumerary),1550,1550,2022,4
141,Indian Institute of Technology Kharagpur,"Industrial and Systems Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,510,620,2022,4
142,Indian Institute of Technology Kharagpur,"Industrial and Systems Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),605,605,2022,4
143,Indian Institute of Technology Kharagpur,"Industrial and Systems Engineering with M.Tech. in Industrial and Systems Engineering and Management (5 Years, Bachelor and Master of Technology (Dual Degree))",ST,Gender-Neutral,900,965,2022,4
144,Indian Institute of Technology Kharagpur,"Instrumentation Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,405,448,2022,4
145,Indian Institute of Technology Kharagpur,"Instrumentation Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),751,751,2022,4
146,Indian Institute of Technology Kharagpur,"Manufacturing Science and Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,592,870,2022,4
147,Indian Institute of Technology Kharagpur,"Manufacturing Science and Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),1326,1326,2022,4
148,Indian Institute of Technology Kharagpur,"Manufacturing Science and Engineering with M.Tech. in Industrial and Systems Engineering and Management (5 Years, Bachelor and Master of Technology (Dual Degree))",ST,Gender-Neutral,986,986,2022,4
149,Indian Institute of Technology Kharagpur,"Mathematics and Computing (4 Years, Bachelor of Science)",ST,Gender-Neutral,98,243,2022,4
150,Indian Institute of Technology Kharagpur,"Mathematics and Computing (4 Years, Bachelor of Science)",ST,Female-only (including Supernumerary),450,450,2022,4
151,Indian Institute of Technology Kharagpur,"Mechanical Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,410,495,2022,4
152,Indian Institute of Technology Kharagpur,"Mechanical Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))",ST,Gender-Neutral,501,789,2022,4
