Institute,Academic Program Name,Seat Type,Gender,Opening Rank,Closing Rank,Year,Round
Indian Institute of Technology Delhi,"Electrical Engineering (Power and Automation) (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,603,797,2022,1
Indian Institute of Technology Delhi,"Electrical Engineering (Power and Automation) (4 Years, Bachelor of Technology)",OPEN,Female-only (including Supernumerary),1645,2088,2022,1
Indian Institute of Technology Delhi,"Energy Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,2360,2839,2022,1
Indian Institute of Technology Delhi,"Energy Engineering (4 Years, Bachelor of Technology)",OPEN,Female-only (including Supernumerary),5110,6398,2022,1
Indian Institute of Technology Delhi,"Engineering and Computational Mechanics (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,819,1314,2022,1
Indian Institute of Technology Delhi,"Engineering and Computational Mechanics (4 Years, Bachelor of Technology)",OPEN,Female-only (including Supernumerary),1361,2792,2022,1
Indian Institute of Technology Delhi,"Engineering Physics (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,1404,2656,2022,1
Indian Institute of Technology Delhi,"Engineering Physics (4 Years, Bachelor of Technology)",OPEN,Female-only (including Supernumerary),4007,6565,2022,1
Indian Institute of Technology Delhi,"Materials Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,2966,4083,2022,1
Indian Institute of Technology Delhi,"Materials Engineering (4 Years, Bachelor of Technology)",OPEN,Female-only (including Supernumerary),9160,10092,2022,1
Indian Institute of Technology Delhi,"Mathematics and Computing (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,140,306,2022,1
Indian Institute of Technology Delhi,"Mathematics and Computing (4 Years, Bachelor of Technology)",OPEN,Female-only (including Supernumerary),697,942,2022,1
Indian Institute of Technology Delhi,"Mathematics and Computing (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,Gender-Neutral,314,401,2022,1
Indian Institute of Technology Delhi,"Mathematics and Computing (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,Female-only (including Supernumerary),943,1026,2022,1
Indian Institute of Technology Delhi,"Mechanical Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,918,1865,2022,1
Indian Institute of Technology Delhi,"Mechanical Engineering (4 Years, Bachelor of Technology)",OPEN,Female-only (including Supernumerary),3330,4227,2022,1
Indian Institute of Technology Delhi,"Production and Industrial Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,1928,3372,2022,1
Indian Institute of Technology Delhi,"Production and Industrial Engineering (4 Years, Bachelor of Technology)",OPEN,Female-only (including Supernumerary),6668,8700,2022,1
Indian Institute of Technology Delhi,"Textile Technology (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,4097,5649,2022,1
Indian Institute of Technology Delhi,"Textile Technology (4 Years, Bachelor of Technology)",OPEN,Female-only (including Supernumerary),8455,11244,2022,1
Indian Institute of Technology Indore,"Civil Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,7291,8989,2022,1
Indian Institute of Technology Indore,"Civil Engineering (4 Years, Bachelor of Technology)",OPEN,Female-only (including Supernumerary),14765,16081,2022,1
Indian Institute of Technology Indore,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,671,1144,2022,1
Indian Institute of Technology Indore,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OPEN,Female-only (including Supernumerary),2102,2750,2022,1
Indian Institute of Technology Indore,"Electrical Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,2305,3599,2022,1
